# Name: PhysicalDice1
# PositionX.PositionY.PositionZ.RotationX.RotationY.RotationZ.RotationW
42,8.102.-66,9.0,3189003.-0,1892394.0,06514187.0,9264165
45,17889.101,2269.-72,33028.0,3218364.-0,1903735.0,0653588.0,9251527
45,27039.100,9821.-72,53967.0,3220525.-0,190479.0,06536146.0,9250556
45,36176.100,7212.-72,7492.0,3222662.-0,1905842.0,06536395.0,9249593
45,45311.100,4443.-72,9587.0,3224782.-0,190689.0,06536654.0,9248637
45,54446.100,1516.-73,16814.0,3226887.-0,1907932.0,06536954.0,9247685
45,63583.99,84284.-73,37752.0,3228978.-0,1908969.0,06537261.0,924674
45,72721.99,51821.-73,58682.0,3231055.-0,1909999.0,06537581.0,9245799
45,81862.99,17767.-73,79606.0,3233116.-0,1911023.0,06537905.0,9244865
45,91004.98,8212.-74,00522.0,3235161.-0,191204.0,06538229.0,9243936
46,00354.98,45079.-74,2137.0,3237446.-0,191372.0,06538253.0,9242788
46,09518.98,06454.-74,42239.0,3240541.-0,1914903.0,06540225.0,9241444
46,18649.97,66187.-74,6315.0,3243392.-0,1915963.0,06542388.0,9240209
46,27786.97,24323.-74,84058.0,3246217.-0,1916988.0,06544655.0,9238988
46,36926.96,80867.-75,04957.0,3249023.-0,1917998.0,06546939.0,9237777
46,46067.96,35821.-75,25846.0,3251805.-0,1918993.0,06549242.0,9236575
46,5521.95,89183.-75,46725.0,3254566.-0,1919973.0,06551567.0,9235382
46,64356.95,40954.-75,67596.0,3257307.-0,1920939.0,06553905.0,9234198
46,73503.94,91133.-75,88457.0,3260025.-0,1921891.0,06556258.0,9233024
46,82652.94,39722.-76,09308.0,3262722.-0,1922828.0,06558631.0,9231859
46,91803.93,86718.-76,30151.0,3265399.-0,1923753.0,06561006.0,9230704
47,00955.93,32123.-76,50983.0,3268054.-0,1924664.0,06563395.0,9229557
47,10109.92,75936.-76,71808.0,3270689.-0,1925562.0,06565796.0,9228419
47,19264.92,18157.-76,92623.0,3273303.-0,1926449.0,06568208.0,922729
47,28421.91,58786.-77,1343.0,3275898.-0,1927323.0,06570622.0,922617
47,37579.90,97823.-77,34228.0,3278472.-0,1928185.0,06573038.0,9225057
47,46738.90,35268.-77,55018.0,3281026.-0,1929036.0,0657546.0,9223954
47,55898.89,71121.-77,75799.0,3283561.-0,1929875.0,06577887.0,9222859
47,6506.89,05381.-77,96572.0,3286077.-0,1930704.0,06580314.0,9221771
47,74222.88,38049.-78,17337.0,3288574.-0,1931523.0,0658274.0,9220693
47,83386.87,69124.-78,38094.0,3291053.-0,1932331.0,06585169.0,9219623
47,9255.86,98606.-78,58842.0,3293512.-0,1933129.0,06587597.0,9218559
48,01715.86,26495.-78,79583.0,3295954.-0,1933918.0,06590015.0,9217503
48,10882.85,52792.-79,00316.0,329838.-0,1934699.0,06592432.0,9216454
48,20049.84,77496.-79,21041.0,3300787.-0,193547.0,06594855.0,9215414
48,29217.84,00606.-79,41759.0,3303177.-0,1936233.0,06597268.0,9214379
48,38385.83,22123.-79,62469.0,3305552.-0,1936988.0,06599672.0,9213352
48,47554.82,42046.-79,83172.0,330791.-0,1937736.0,06602071.0,9212332
48,56724.81,60377.-80,03867.0,3310252.-0,1938475.0,0660446.0,9211317
48,7533.80,99548.-80,48435.0,3222184.-0,1936391.0,06371813.0,9244562
48,98048.80,62319.-81,07251.0,3141934.-0,1936131.0,06071723.0,9274212
49,235.80,36075.-81,75623.0,3067546.-0,1934816.0,05775366.0,9301242
49,50717.80,16061.-82,47598.0,3001737.-0,1933454.0,05498709.0,9324644
49,78695.80,0061.-83,22356.0,294049.-0,1932414.0,05266538.0,9345691
50,07165.79,87599.-83,99084.0,2882397.-0,1931074.0,0506607.0,9365154
50,36242.79,75806.-84,77399.0,2826151.-0,1930016.0,0489746.0,9383393
50,65916.79,64291.-85,56892.0,2771015.-0,1929215.0,04750679.0,9400741
50,96144.79,52438.-86,37263.0,2716578.-0,1928628.0,04616433.0,9417403
51,26868.79,39838.-87,18295.0,2662613.-0,1928254.0,04489446.0,9433492
51,58035.79,26206.-87,99841.0,2608949.-0,1928124.0,04366855.0,9449075
51,89605.79,1134.-88,81794.0,2555444.-0,1928267.0,04247184.0,9464201
52,21541.78,95101.-89,64082.0,2502012.-0,1928707.0,04129657.0,9478897
52,53822.78,77381.-90,46629.0,2448574.-0,1929414.0,04016785.0,9493182
52,86409.78,58096.-91,2939.0,2395152.-0,1930463.0,03904971.0,9507054
53,19223.78,37182.-92,12359.0,2341702.-0,1931644.0,03791158.0,9520581
53,52273.78,14597.-92,95511.0,2288156.-0,1933027.0,03678684.0,9533752
53,85553.77,90226.-93,78809.0,2233683.-0,1934924.0,03564556.0,954671
54,19052.77,64139.-94,62238.0,2179242.-0,1936792.0,03452192.0,9559318
54,52729.77,36294.-95,4577.0,2124766.-0,1938674.0,03340369.0,957159
54,86558.77,06666.-96,29385.0,2070273.-0,1940548.0,03229025.0,9583526
55,20503.76,75231.-97,1306.0,2015821.-0,1942403.0,03118361.0,9595119
55,54542.76,41972.-97,9678.0,1961408.-0,1944267.0,03008956.0,9606361
55,88651.76,06863.-98,80512.0,1907088.-0,1946156.0,02901544.0,961724
56,22799.75,69883.-99,64223.0,1852958.-0,1948053.0,02796293.0,9627743
56,56973.75,31019.-100,479.0,1799016.-0,1949961.0,0269313.0,9637877
56,91166.74,90263.-101,3155.0,1745274.-0,1951885.0,02591923.0,9647642
57,25282.74,47617.-102,1536.0,1692236.-0,1953592.0,02494496.0,9656997
57,59484.74,02979.-102,9906.0,1638809.-0,195572.0,02395029.0,9666029
57,93827.73,56494.-103,829.0,1585026.-0,1957952.0,02296903.0,967478
58,2829.73,08142.-104,6683.0,1531057.-0,1960224.0,02199243.0,9683234
58,62876.72,57921.-105,5084.0,1476892.-0,1962509.0,02101948.0,9691397
58,97565.72,05816.-106,349.0,1422644.-0,1964787.0,02004485.0,9699253
59,32315.71,51817.-107,1895.0,1368427.-0,1967066.0,01906565.0,9706787
59,6713.70,95923.-108,0301.0,1314227.-0,1969343.0,01808953.0,9713999
60,02008.70,38135.-108,8708.0,1260036.-0,1971625.0,01711536.0,972089
60,36938.69,78449.-109,7113.0,1205888.-0,1973917.0,016144.0,9727458
60,71894.69,1686.-110,5513.0,1151856.-0,1976212.0,01517806.0,9733694
61,06828.68,53391.-111,3907.0,109829.-0,1978276.0,01423289.0,9739606
61,41735.67,88047.-112,2296.0,1045252.-0,1980046.0,01331491.0,9745212
61,76587.67,20827.-113,0676.0,09926897.-0,1981571.0,01242087.0,9750514
62,1137.66,51731.-113,9047.0,09406229.-0,198283.0,01154741.0,9755526
62,46073.65,80754.-114,7407.0,08890507.-0,1983831.0,0106921.0,9760255
62,8068.65,07893.-115,5754.0,0837914.-0,1984633.0,009863986.0,9764702
63,15207.64,33156.-116,4088.0,07872186.-0,198525.0,009058963.0,9768873
63,49647.63,56551.-117,2408.0,07369948.-0,1985653.0,008274565.0,9772778
63,83995.62,78084.-118,0715.0,06872539.-0,198584.0,007507399.0,9776425
64,18237.61,97784.-118,9008.0,06378371.-0,1985845.0,00676611.0,9779826
64,5234.61,15768.-119,7285.0,05882132.-0,1985884.0,006080354.0,9782974
64,86331.60,32032.-120,5552.0,0539536.-0,1986252.0,005447499.0,9785742
65,20203.59,46837.-121,3802.0,04907635.-0,1986814.0,004808729.0,9788229
65,53982.58,60172.-122,2034.0,04419095.-0,1987393.0,004170194.0,9790468
65,87701.57,71987.-123,0254.0,03930365.-0,1987945.0,003532481.0,9792464
66,21365.56,82288.-123,8461.0,03441488.-0,1988477.0,002894188.0,9794217
66,54972.55,91078.-124,6655.0,02952487.-0,1988973.0,002254313.0,979573
66,88521.54,98373.-125,4836.0,02463286.-0,1989421.0,001610636.0,9797004
67,22012.54,0417.-126,3004.0,01973965.-0,1989821.0,0009625995.0,9798039
67,56967.53,10523.-127,1471.0,01307977.-0,1989153.0,0002674447.0,9799294
67,89955.52,15611.-127,9412.0,007936887.-0,1984574.-0,000621925.0,9800773
67,98295.52,33534.-128,2095.0,000237558.-0,1992583.-0,002342806.0,9799442
68,00974.52,50185.-128,3858.-0,002504497.-0,2006816.-0,002366142.0,9796504
68,12115.52,61002.-128,6616.-0,002520448.-0,2008494.-0,001532271.0,9796177
68,22787.52,67067.-128,9632.-0,00301947.-0,2012435.-0,001243442.0,9795359
68,34262.52,7132.-129,2753.-0,003173504.-0,2015679.-0,001281212.0,9794686
68,45766.52,74012.-129,587.-0,003294373.-0,2018947.-0,001313166.0,9794009
68,57283.52,75093.-129,8986.-0,003411814.-0,2022193.-0,001347564.0,9793335
68,68811.52,74562.-130,2101.-0,003527353.-0,2025418.-0,001384932.0,9792663
68,80351.52,72419.-130,5216.-0,003640899.-0,2028621.-0,001425073.0,9791995
68,91903.52,68663.-130,833.-0,003752513.-0,2031804.-0,001467935.0,9791331
69,02365.52,66156.-131,1392.-0,0035237.-0,2035249.-0,000857358.0,9790632
69,12086.52,64229.-131,4174.-0,003177201.-0,2037241.-0,0007344425.0,9790229
69,20223.52,64006.-131,6715.-0,003337668.-0,2040019.-0,0008933829.0,9789644
69,2729.52,64849.-131,9182.-0,003448834.-0,204077.-0,0009727419.0,9789483
69,33162.52,65676.-132,158.-0,003495685.-0,2038634.-0,0009714858.0,9789926
69,39804.52,66066.-132,4008.-0,003063126.-0,2039471.-0,0006250889.0,978977
69,46671.52,66628.-132,6319.-0,002134637.-0,2041722.-0,0001806988.0,9789327
69,521.52,65715.-132,822.-0,001885197.-0,2043289.0,0006038196.0,9789003
69,57476.52,64901.-133,0055.-0,0020035.-0,2039923.0,0007306205.0,9789702
69,62538.52,63203.-133,1683.-0,001919521.-0,2042594.0,0001875625.0,9789149
69,67941.52,60758.-133,3247.-0,001597285.-0,2045866.-0,0004588344.0,9788471
69,71342.52,60518.-133,4397.-0,001849263.-0,2048589.-0,0005018672.0,9787897
69,72935.52,62414.-133,5132.-0,002529901.-0,2051839.-0,0006108826.0,97872
69,73408.52,65437.-133,5568.-0,003473565.-0,2055783.-0,0007555846.0,9786342
69,73736.52,68368.-133,5879.-0,004266386.-0,20584.-0,0008644293.0,978576
69,74136.52,70486.-133,6128.-0,004926305.-0,2060442.-0,0009963426.0,9785298
69,74545.52,71973.-133,6304.-0,005430808.-0,206159.-0,001107108.0,9785029
69,74913.52,72927.-133,6402.-0,005770795.-0,2061772.-0,001179575.0,978497
69,75149.52,73324.-133,6437.-0,00589667.-0,2061764.-0,001231262.0,9784964
69,75141.52,73149.-133,6414.-0,00582521.-0,2061689.-0,001236296.0,9784983
69,74881.52,72383.-133,6337.-0,005547359.-0,2061478.-0,001186947.0,9785044
69,74346.52,71021.-133,6208.-0,005064568.-0,2061498.-0,001092164.0,9785067
69,73538.52,69067.-133,6026.-0,004374807.-0,2061537.-0,0009478209.0,9785094
69,72478.52,6652.-133,579.-0,00347788.-0,2061583.-0,0007565113.0,9785122
69,7118.52,63375.-133,55.-0,002373076.-0,2061617.-0,0005209814.0,9785149
69,6965.52,59631.-133,5155.-0,001059707.-0,2061634.-0,0002426838.0,9785169
69,67889.52,55279.-133,4756.0,0004627568.-0,2061637.7,84648E-05.0,9785175
69,67653.52,57482.-133,4703.0,00064317.-0,2063319.-0,0001103621.0,9784819
69,67509.52,5782.-133,4739.0,0005084336.-0,2063279.-2,078719E-05.0,9784828
69,67583.52,57254.-133,4814.0,0002474828.-0,2063307.3,905066E-06.0,9784823
69,67691.52,56806.-133,4875.4,102488E-05.-0,2063325.1,787899E-06.0,978482
69,67744.52,56726.-133,4897.-3,125911E-05.-0,2063358.-4,749621E-06.0,9784813
69,67746.52,56705.-133,4895.-2,994893E-05.-0,206334.-4,177665E-06.0,9784817
69,67732.52,56695.-133,4889.-1,081627E-05.-0,2063323.-1,606221E-06.0,978482
69,67723.52,5669.-133,4885.2,288161E-07.-0,2063314.-1,238095E-07.0,9784822
69,6772.52,56689.-133,4884.2,809964E-06.-0,2063315.3,192438E-07.0,9784821
69,67721.52,5669.-133,4885.1,583828E-06.-0,2063315.2,275426E-07.0,9784822
69,67722.52,5669.-133,4885.3,753163E-07.-0,2063317.7,721115E-08.0,9784821
69,67722.52,5669.-133,4885.-2,09751E-07.-0,2063318.-7,46852E-08.0,9784821
69,67722.52,5669.-133,4885.-2,095719E-07.-0,2063317.-2,883878E-08.0,9784822
69,67722.52,5669.-133,4885.-1,338196E-07.-0,2063317.-3,426321E-08.0,9784821
69,67722.52,5669.-133,4885.1,163243E-07.-0,2063317.3,332102E-08.0,9784822
69,67722.52,5669.-133,4885.3,104219E-08.-0,2063317.-3,793446E-08.0,9784822
69,67722.52,5669.-133,4885.-3,689184E-09.-0,2063317.-4,371005E-08.0,9784822
69,67722.52,5669.-133,4885.1,117906E-08.-0,2063317.4,104447E-08.0,9784822
69,67722.52,5669.-133,4885.-1,229287E-08.-0,2063317.-4,931295E-08.0,9784822
69,67722.52,5669.-133,4885.1,669245E-09.-0,2063317.-4,727829E-08.0,9784822
69,67722.52,5669.-133,4885.2,399851E-08.-0,2063317.3,938408E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
69,67722.52,5669.-133,4885.2,264034E-09.-0,2063317.-5,069698E-08.0,9784822
